date_key,year,quarter,month,day,day_of_week,is_weekend
2012-12-31,2012,4,12,31,Monday,0
2013-01-01,2013,1,1,1,Tuesday,0
2013-01-02,2013,1,1,2,Wednesday,0
2013-01-03,2013,1,1,3,Thursday,0
2013-01-04,2013,1,1,4,Friday,0
2013-01-05,2013,1,1,5,Saturday,1
2013-01-06,2013,1,1,6,Sunday,1
2013-01-07,2013,1,1,7,Monday,0
2013-01-08,2013,1,1,8,Tuesday,0
2013-01-09,2013,1,1,9,Wednesday,0
2013-01-10,2013,1,1,10,Thursday,0
2013-01-11,2013,1,1,11,Friday,0
2013-01-12,2013,1,1,12,Saturday,1
2013-01-13,2013,1,1,13,Sunday,1
2013-01-14,2013,1,1,14,Monday,0
2013-01-15,2013,1,1,15,Tuesday,0
2013-01-16,2013,1,1,16,Wednesday,0
2013-01-17,2013,1,1,17,Thursday,0
2013-01-18,2013,1,1,18,Friday,0
2013-01-19,2013,1,1,19,Saturday,1
2013-01-20,2013,1,1,20,Sunday,1
2013-01-21,2013,1,1,21,Monday,0
2013-01-22,2013,1,1,22,Tuesday,0
2013-01-23,2013,1,1,23,Wednesday,0
2013-01-24,2013,1,1,24,Thursday,0
2013-01-25,2013,1,1,25,Friday,0
2013-01-26,2013,1,1,26,Saturday,1
2013-01-27,2013,1,1,27,Sunday,1
2013-01-28,2013,1,1,28,Monday,0
2013-01-29,2013,1,1,29,Tuesday,0
2013-01-30,2013,1,1,30,Wednesday,0
2013-01-31,2013,1,1,31,Thursday,0
2013-02-01,2013,1,2,1,Friday,0
2013-02-02,2013,1,2,2,Saturday,1
2013-02-03,2013,1,2,3,Sunday,1
2013-02-04,2013,1,2,4,Monday,0
2013-02-05,2013,1,2,5,Tuesday,0
2013-02-06,2013,1,2,6,Wednesday,0
2013-02-07,2013,1,2,7,Thursday,0
2013-02-08,2013,1,2,8,Friday,0
2013-02-09,2013,1,2,9,Saturday,1
2013-02-10,2013,1,2,10,Sunday,1
2013-02-11,2013,1,2,11,Monday,0
2013-02-12,2013,1,2,12,Tuesday,0
2013-02-13,2013,1,2,13,Wednesday,0
2013-02-14,2013,1,2,14,Thursday,0
2013-02-15,2013,1,2,15,Friday,0
2013-02-16,2013,1,2,16,Saturday,1
2013-02-17,2013,1,2,17,Sunday,1
2013-02-18,2013,1,2,18,Monday,0
2013-02-19,2013,1,2,19,Tuesday,0
2013-02-20,2013,1,2,20,Wednesday,0
2013-02-21,2013,1,2,21,Thursday,0
2013-02-22,2013,1,2,22,Friday,0
2013-02-23,2013,1,2,23,Saturday,1
2013-02-24,2013,1,2,24,Sunday,1
2013-02-25,2013,1,2,25,Monday,0
2013-02-26,2013,1,2,26,Tuesday,0
2013-02-27,2013,1,2,27,Wednesday,0
2013-02-28,2013,1,2,28,Thursday,0
2013-03-01,2013,1,3,1,Friday,0
2013-03-02,2013,1,3,2,Saturday,1
2013-03-03,2013,1,3,3,Sunday,1
2013-03-04,2013,1,3,4,Monday,0
2013-03-05,2013,1,3,5,Tuesday,0
2013-03-06,2013,1,3,6,Wednesday,0
2013-03-07,2013,1,3,7,Thursday,0
2013-03-08,2013,1,3,8,Friday,0
2013-03-09,2013,1,3,9,Saturday,1
2013-03-10,2013,1,3,10,Sunday,1
2013-03-11,2013,1,3,11,Monday,0
2013-03-12,2013,1,3,12,Tuesday,0
2013-03-13,2013,1,3,13,Wednesday,0
2013-03-14,2013,1,3,14,Thursday,0
2013-03-15,2013,1,3,15,Friday,0
2013-03-16,2013,1,3,16,Saturday,1
2013-03-17,2013,1,3,17,Sunday,1
2013-03-18,2013,1,3,18,Monday,0
2013-03-19,2013,1,3,19,Tuesday,0
2013-03-20,2013,1,3,20,Wednesday,0
2013-03-21,2013,1,3,21,Thursday,0
